SlideName,ROINumber,ROILabel,ROISurfaceArea,ROINucleiCount,ROICoordinateX,ROICoordinateY
8014920,1,Unspecified,284898.1,1067,755.5,564.1667
8014920,2,Unspecified,392190,1209,143.5,642.8333
8014920,3,Unspecified,369498.3,1139,93.5,548.8333
8014920,4,Unspecified,243726.4,669,212.8333,357.1667
8014920,5,Unspecified,403887.6,1243,292.1667,305.8333
8014920,6,Unspecified,487063.4,1553,385.5,311.1666
8014920,7,Unspecified,346172.1,1031,394.8333,469.5
8014920,8,Unspecified,340695.5,585,272.8333,569.5
8014920,9,Unspecified,193886.9,439,236.1667,488.8333
8014920,10,Unspecified,119684.4,357,185.5,430.8333
8014920,11,Unspecified,334515.9,1351,289.5,222.1667
8014920,12,Unspecified,481356,1414,492.5,357.5
8014920,13,Unspecified,482752.4,1876,580.5,366.8333
8014920,14,Unspecified,296037,1387,665.1667,424.8333
8014920,15,Unspecified,244301.9,925,667.8333,498.1666
8014920,16,Unspecified,237952.2,1290,746.5,495.5
8014920,17,Unspecified,329997.4,692,546.5,535.5
8014920,18,Unspecified,232178,883,779.1667,634.5
8014920,19,Unspecified,258732.1,855,671.8333,563.1666
8014920,20,Unspecified,189293.2,491,106.1667,485.1666
8014920,21,Unspecified,268724.1,560,174.1667,561.1666
8014920,22,Unspecified,54432.1,401,288.8333,50.8333
8014920,23,Unspecified,236076.1,1090,472.1667,237.5
8014920,24,Unspecified,202936.2,836,362.1667,236.5
8014920,25,Unspecified,32286.3,216,728.1667,352.1667
8014920,26,Unspecified,131807.5,645,728.8333,438.8333
8014920,27,Unspecified,111475.7,257,164.1667,364.1667
8014920,28,Unspecified,98162.8,178,214.8333,286.1667
8146087,1,Unspecified,125877.4,2159,46.1667,223.1667
8146087,2,Unspecified,175026.6,1528,74.5,260.5
8146087,3,Tumor,181348.2,1400,287.1667,103.8333
8146087,3,Stroma,166538.9,916,287.1667,103.8333
8146087,4,Tumor,153204.1,1193,238.1667,240.8333
8146087,4,Stroma,106094.9,907,238.1667,240.8333
8146087,5,Tumor,128358.6,987,660.1667,220.1667
8146087,5,Stroma,203648.7,1688,660.1667,220.1667
8146087,6,Tumor,105604.2,824,339.1667,664.8333
8146087,6,Stroma,284384.8,2516,339.1667,664.8333
8146087,7,Unspecified,239801.5,1316,281.5,252.5
8146087,8,Tumor,29953.8,219,799.1667,314.8333
8146087,8,Stroma,70316,789,799.1667,314.8333
8146087,9,Unspecified,76646.4,508,794.1667,350.5
8146087,10,Stroma,117311.5,648,403.8333,66.8333
8146087,11,Tumor,67990.3,477,328.8333,121.1667
8146087,11,Stroma,94822.1,383,328.8333,121.1667
8146087,12,Unspecified,94260.6,690,88.75,69.5
8146087,13,Unspecified,114697.5,1067,102.5,92.25
8146087,14,Tumor,93541.3,859,131.5,219
8146087,14,Stroma,338992.4,2993,131.5,219
8146090,1,Tumor,94947.5,568,241.3333,59
8146090,1,Stroma,103589,844,241.3333,59
8146090,2,Unspecified,103253,534,285.3333,223
8146090,3,Unspecified,110451.7,710,217,193.6667
8146090,4,Unspecified,183264.8,1462,183.8333,48.8333
8146090,5,Tumor,92482.9,602,283.5,466.5
8146090,5,Stroma,181116.1,1770,283.5,466.5
8146090,6,Tumor,82057.9,473,342.1667,375.1667
8146090,6,Stroma,208292.9,1841,342.1667,375.1667
8146090,7,Tumor,64524.4,449,198.5,339.5
8146090,7,Stroma,199410.8,1772,198.5,339.5
8146090,8,Unspecified,177237.7,2120,68.5,259.5
8146090,9,Unspecified,309263.2,2073,49.8333,406.8333
8146090,10,Tumor,58586.7,440,376.5,669.8333
8146090,10,Stroma,285232.3,2291,376.5,669.8333
8146090,11,Unspecified,395197.2,2859,472.1667,680.8333
8146090,12,Tumor,48205,402,474.1667,633.1666
8146090,12,Stroma,212084.4,2029,474.1667,633.1666
8146090,13,Tumor,92853.3,623,410,213
8146090,13,Stroma,207056.4,1855,410,213
8146090,14,Tumor,167075.5,1130,405,139
8146090,14,Stroma,76025.3,763,405,139
8146090,15,Unspecified,95875.2,1305,305.5,547.75
8146090,16,Tumor,105942.3,669,114.25,452
8146090,16,Stroma,278091.4,2366,114.25,452
8146090,17,Tumor,106213,878,352.75,444.25
8146090,17,Stroma,141072.3,1278,352.75,444.25
8146090,18,Tumor,92319,721,385.5,521
8146090,18,Stroma,151185.7,1582,385.5,521
9006750,1,Unspecified,98968.2,315,392.8333,121.8333
9006750,2,Unspecified,81966.2,477,116.8333,415.8333
9006750,3,Unspecified,69120.9,407,116.5,283.1667
9006750,4,Tumor,86515.8,212,454.1666,602.5
9006750,4,Stroma,56970.9,380,454.1666,602.5
9006750,5,Tumor,108477.6,256,292.1667,443.8333
9006750,5,Stroma,228108.5,942,292.1667,443.8333
9006750,6,Tumor,187033.1,489,262.1667,101.1667
9006750,6,Stroma,190246.2,934,262.1667,101.1667
9006750,7,Tumor,128419.8,286,489.8333,199.1667
9006750,7,Stroma,183617,475,489.8333,199.1667
9006750,8,Tumor,199673.8,458,491.8333,364.5
9006750,8,Stroma,223334.4,600,491.8333,364.5
9006750,9,Tumor,160697.3,433,500.5,73.5
9006750,9,Stroma,159735.8,551,500.5,73.5
9006750,10,Tumor,102075,475,215.1667,293.1667
9006750,10,Stroma,241569.7,1897,215.1667,293.1667
9006750,11,Tumor,237697.9,926,220.5,412.5
9006750,11,Stroma,115939.7,892,220.5,412.5
9006750,12,Tumor,158211.2,372,284.5,300.8333
9006750,12,Stroma,290289.3,1572,284.5,300.8333
9006750,13,Tumor,172177.6,552,193.5,471.1667
9006750,13,Stroma,102099.4,943,193.5,471.1667
