cell_type,segment,percent_immune
macrophages,Tumor,0.07858153870551897
mast,Tumor,0.0016127242382443896
B.naive,Tumor,0.031210648859016223
B.memory,Tumor,0.0
plasma,Tumor,0.022063452378250612
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3636429015337599
T.CD8.memory,Tumor,0.0
NK,Tumor,0.05675636141066464
pDCs,Tumor,0.008709897274787916
mDCs,Tumor,0.0
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.27402011037023916
Treg,Tumor,0.0
endothelial.cells,Tumor,0.070679445167686
fibroblasts,Tumor,0.09272292006183218
macrophages,Stroma,0.328793542045234
mast,Stroma,0.0
B.naive,Stroma,0.016457307007422584
B.memory,Stroma,0.0
plasma,Stroma,0.003944336027952849
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.055839898252956974
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.16951398006227184
NK,Stroma,0.036666285903609735
pDCs,Stroma,0.009348931616581067
mDCs,Stroma,0.009689100829939314
monocytes.C,Stroma,0.0
monocytes.NC.I,Stroma,0.015757087314105418
neutrophils,Stroma,0.11572123914379584
Treg,Stroma,0.012789343494432443
endothelial.cells,Stroma,0.11325902541234159
fibroblasts,Stroma,0.11221992288935637
macrophages,Tumor,0.10049288886739413
mast,Tumor,0.0029936580031659906
B.naive,Tumor,0.04760959160382861
B.memory,Tumor,0.0
plasma,Tumor,0.021312811599581503
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.004809689066282524
T.CD8.naive,Tumor,0.32166231796508343
T.CD8.memory,Tumor,0.01980389289232729
NK,Tumor,0.054634431030976045
pDCs,Tumor,0.003988979222638257
mDCs,Tumor,0.0026714907219461646
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.003680883816528537
neutrophils,Tumor,0.19766566901439628
Treg,Tumor,0.022887642147726917
endothelial.cells,Tumor,0.10326471899968542
fibroblasts,Tumor,0.09252133504843882
macrophages,Stroma,0.30963525912260714
mast,Stroma,7.652874715015594e-05
B.naive,Stroma,0.027119979410894224
B.memory,Stroma,0.0
plasma,Stroma,0.040428992224071474
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.02887794146941614
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.1978210889882453
NK,Stroma,0.027743903148430168
pDCs,Stroma,0.0034324673588118203
mDCs,Stroma,0.028453474188353967
monocytes.C,Stroma,0.012086665747130758
monocytes.NC.I,Stroma,0.017105014510190943
neutrophils,Stroma,0.02861872781033302
Treg,Stroma,0.03623578608682414
endothelial.cells,Stroma,0.11629649198180536
fibroblasts,Stroma,0.12606767920573544
macrophages,Tumor,0.07971346735529639
mast,Tumor,0.001841501561855518
B.naive,Tumor,0.025841263691531637
B.memory,Tumor,0.0
plasma,Tumor,0.02043058638838791
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.020276867440662576
T.CD8.naive,Tumor,0.3601506382736981
T.CD8.memory,Tumor,0.011158677547724045
